index,address_1,address_2,name,expiration_date
133,CELNA,9,GM KRAFT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2023-01-14
134,CENTRALNA,41A,CUBE WALLS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,2027-09-12
135,CENTRALNA,41B,DOMAGAŁA MICHAŁ,2029-03-24
136,CENTRUM E,12,ŚWIĘTALSKA JADWIGA,2026-11-07
137,CENTRUM E,25,ŚLĘCZEK GRZEGORZ,2029-05-22
138,CHEŁMSKA,16,ROSPOND MONIKA,2023-05-29
139,CHMIELENIEC,2B lok. LU 1,NOSEK DAGMARA,2029-02-07
140,CHMIELENIEC,2B/LU11,WALCZAK JAN,2029-07-20
141,CHMIELNA,18A,SWOBODA JOANNA,2028-08-09
142,CIEMNA,15,JOLEN SP. Z O.O;.,2022-08-21
143,CISOWA,2,KOŁODZIEJCZYK RENATA,2028-09-09
144,CZARNOWIEJSKA,23,PIRS SPÓŁKA Z O. O.,2022-08-30
145,CZARNOWIEJSKA,38,"SUCHORA GRZEGORZ, KMIECIK MARIUSZ",2029-06-08
146,CZARNOWIEJSKA,55,TROCHA ZBIGNIEW,2022-07-07
147,CZYSTA,3/2,"ZAJĄC SZYMON, FLORCZYK PAWEŁ",2025-08-20
148,CZYSTA,8/LU2,GRABOWSKA DOMINIKA,2023-08-02
149,DAJWÓR,3,ZAJĄC SZYMON,2023-10-31
150,DAJWÓR,18,KOWALSKA ALEKSANDRA,2028-11-30
151,DAJWÓR,19,KUBIACZYK MAGDALENA,2028-01-19
152,DAJWÓR,10B,DE KIME CHRISTOPHER,2027-08-20
153,DAJWÓR,20/LU6,WINIARNIA SPÓŁKA Z O. O.,2023-01-14
154,DAJWÓR,20/U2,DUDEK MARCIN,2029-04-25
155,DAJWÓR,25C,W&M INVEST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2029-12-02
156,DANIELA CHODOWIECKIEGO,1,"NOWOSAD ELŻBIETA, BOBIKIEWICZ KATARZYNA, KRAWIEC PAWEŁ, KRAWIEC WIESŁAW",2027-07-08
157,DĄBROWSKIEGO,5 lok. LU 4,"SOCHA ANNA, URBAŃSKA PAULINA",2029-04-30
158,DĄBROWSKIEGO,5/LU4,ŁOTOCKI PIOTR,2029-12-16
159,DĄBSKA,5,UNIREST HOTELE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-09-30
160,DĄBSKA,5,UNIREST HOTELE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-09-03
161,DĄBSKA,18D/LU8,"DANIEC PAULINA, SACHA JAKUB",2023-03-21
162,DIETLA,55/1,DASOM SPÓŁKA Z O. O. SPÓŁKA KOMANDYTOWA,2023-02-28
163,DŁUGA,9,LEGENDZIEWICZ JACEK,2028-12-19
164,DŁUGA,12,GĄSOWSKI MARCIN,2027-09-15
165,DŁUGA,31,ŁOPUSZKO JACEK,2028-09-25
166,DŁUGA,51,JANIK JAN,2023-05-24
167,DŁUGA,47/1A,"MIKA ROBERT, ŻÓŁCIAK PAWEŁ",2029-06-10
168,DŁUGA,69B/69C,PRUSAK GRZEGORZ,2027-04-30
169,DŁUGA,78-80,"ARTERY M. KURDZIEL, M. GAWLIK SPÓŁKA JAWNA",2026-10-24
170,DOBREGO PASTERZA,8,KRUPA-RUSZKOWSKA ANNA,2029-06-03
171,DOBREGO PASTERZA,124,HOTEL SWING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2028-12-22
172,DOBREGO PASTERZA,126,PARK WODNY W KRAKOWIE S.A.,2023-02-06
173,DOBREGO PASTERZA,128,MULTIKINO SPÓŁKA AKCYJNA,2029-05-03
174,DOBREGO PASTERZA,118G/U2,NOCOŃ AGNIESZKA,2025-11-04
175,DOBREGO PASTERZA,120 / LU7,NIVAN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2027-10-10
176,DOBREGO PASTERZA,120 / U4 i U5,MAGDZIARZ WOJCIECH,2027-10-10
177,DOLNYCH MŁYNÓW,5,ZRZELSKA ANNA,2029-09-09
